"DTB_CIF";"FACT_NUMSERIE";"FACT_EMISION";"FACT_TIPO";"RECTIF_TIPO";"RECTIF_NUMSERIE";"RECTIF_EMISION";"RECTIF_BI";"RECTIF_IVA";"FACT_TOTAL";"DESCR_OPERACION";"CLIE_NOMBRE";"CLIE_TIPOIDFISCAL";"CLIE_IDFISCAL";"FACT_TIPONOEXENTA";"DCHO_EXTENSION";"DCHO_ACCESO";"DCHO_ENGANCHE";"DCHO_VERIFICACION";"DCHO_ACTUACIONEQUIPO";"DCHO_CESIONLINEA";"DCHO_CESIONCT";"FIANZA";"FACT_ALQUILER";"FACT_ISE";"FACT_TIPOIVA";"FACT_BASEISE";"FACT_BLIQUIDABLE";"FACT_BI";"FACT_IVA";"PAGADOR";"CIF_PAGADOR";"TIPO_CONTRATO"
"B36011773";"D/201800000062";"03/04/2018";"F1";;;;;;"10.94";"FACTURA DE DERECHOS Y FIANZAS";"ENERXIA GALEGA MAIS, S.L. ";2;"B27266279";"S1";;;;;"9.04";;;;;;21;;0;"9.04";"1.9";"ENERXIA GALEGA MAIS, S.L.";"B27266279";"S"
"B36011773";"D/201800000063";"03/04/2018";"F1";;;;;;"24.71";"FACTURA DE DERECHOS Y FIANZAS";"ENERGÍA COLECTIVA, S.L. ";2;"B98670003";"S1";;;;;;;;"24.71";;;21;;0;0;0;"ENERGÍA COLECTIVA, S.L.";"B98670003";"S"
